name,website,location,country,description,category,source,collected_date
Digital Health Ventures,https://www.crunchbase.com/organization/digital-health-ventures,,Europe,"Digital health venture funding reached $10.1 billion in 2024, focusing on early-stage ventures in nonclinical workflows, mental health, and obesity care.",Mental Health Tech,Web Search,2025-07-07
List of top Health Care Startups (Top 10K),https://www.crunchbase.com/hub/health-care-startups,,Europe,"The top 10,000 startups in the health care space, by Crunchbase rank. This list of startups in the health care space provides data on their funding history, investment activities, and acquisition trends.",Digital Health,Web Search,2025-07-07
Nightingale Health,https://nightingalehealth.com/,Helsinki,Finland,Blood analysis for preventive health,Digital Diagnostics,Curated Database,2025-07-07
Oura,https://ouraring.com/,Oulu,Finland,Smart ring for health monitoring,Healthcare IoT,Curated Database,2025-07-07
Apomeds,https://www.apomeds.com/,Berlin,Germany,Online pharmacy and medication delivery,Pharmacy Tech,Curated Database,2025-07-07
Avi Medical,https://avimedical.de/,Munich,Germany,Modern primary care centers with digital integration,Primary Care,Curated Database,2025-07-07
Berlin,https://healthcare-startups.de/category/berlin/,,Germany,"Nationale Digital Health Symposium brachte am 6. Dezember 2024 führende Köpfe aus Politik, Gesundheit und Forschung nach Berlin, die das Potenzial Künstlicher Intelligenz (KI) für die Gesundheitsversorgung und die Medizinforschung diskutierten.",Digital Health,Web Search,2025-07-07
Caspar Health,https://caspar-health.com/,Berlin,Germany,Digital rehabilitation therapy platform,Digital Therapeutics,Curated Database,2025-07-07
Conradis,https://conradis.com/,Hamburg,Germany,Medical practice management software,Practice Management,Curated Database,2025-07-07
"DLG e.V.
Projektreferent Digitale Marketing Services (m/w/d)",https://www.deutsche-startups.de/startups-jobs/stellenangebote/dlg-e-v-projektreferent-digitale-marketing-services-m-w-d-61684,,Germany,Found on deutsche-startups.de,Digital Health,deutsche-startups.de,2025-07-07
Digital Health Factory,https://www.crunchbase.com/organization/digital-health-factory,,Germany,"Digital Health Factory - We do healthcare innovation Digital Health Factory is a Berlin-based business builder focused on identifying medically useful, technically feasible economic business opportunities and providing products and services for the h...",Digital Health,Web Search,2025-07-07
Discover Digital Health Startups in Berlin,https://www.healthtechalpha.com/city/digital-health-startups-in-berlin,,Germany,"Discover top HealthTech startups in Berlin. Research Digital Health startup profiles, team, funding and valuation with HealthTech Alpha.",Clinical Trials Tech,Web Search,2025-07-07
Doctena,https://www.doctena.de/,Luxembourg,Germany,Online appointment booking for healthcare,Healthcare Marketplaces,Curated Database,2025-07-07
Emperra,https://www.emperra.com/,Potsdam,Germany,Smart insulin pen and diabetes management,Diabetes Tech,Curated Database,2025-07-07
Esanum,https://www.esanum.de/,Berlin,Germany,Medical professional network and knowledge platform,Medical Education,Curated Database,2025-07-07
Fimo Health,https://www.fimo-health.com/,Berlin,Germany,Digital companion for chronic pain patients,Chronic Care Management,Curated Database,2025-07-07
Gaia,https://www.gaia-group.com/,Hamburg,Germany,Evidence-based digital therapeutics,Digital Therapeutics,Curated Database,2025-07-07
HelloBetter,https://hellobetter.de/,Berlin,Germany,Online psychological support programs,Mental Health Tech,Curated Database,2025-07-07
Inveox,https://www.inveox.com/,Munich,Germany,Automated pathology sample processing,Laboratory Tech,Curated Database,2025-07-07
